,POP,POP,ITEMCF,ITEMCF,MF,MF,WARP,WARP
,NONE,CCCF,NONE,CCCF,NONE,CCCF,NONE,CCCF
P@10,0.07,0.134,0.173,0.174,0.152,0.156,0.178,0.187
R@10,0.09,0.176,0.223,0.25,0.204,0.217,0.253,0.264
F1@10,0.078,0.149,0.189,0.198,0.17,0.177,0.203,0.213
MAP@10,0.182,0.355,0.446,0.456,0.399,0.402,0.428,0.442
,NONE,CCCF,NONE,CCCF,NONE,CCCF,NONE,CCCF
P@10,0.189,0.283,0.308,0.312,0.33,0.354,0.347,0.364
R@10,0.047,0.075,0.085,0.085,0.091,0.098,0.095,0.1
F1@10,0.07,0.109,0.123,0.123,0.132,0.142,0.138,0.145
MAP@10,0.348,0.471,0.493,0.505,0.528,0.551,0.538,0.556
,NONE,CCCF,NONE,CCCF,NONE,CCCF,NONE,CCCF
P@10,0.018,0.046,0.048,0.057,0.043,0.046,0.047,0.056
R@10,0.024,0.058,0.062,0.072,0.055,0.058,0.058,0.068
F1@10,0.018,0.046,0.048,0.058,0.044,0.046,0.047,0.055
MAP@10,0.05,0.124,0.142,0.159,0.124,0.131,0.137,0.152
Table 3: CCCF vs. No Co-Clustering on the Lastfm data ,,,,,,,,
