Graph,Algorithm,LogGap,Log,BV
Enron,Natural,5.01,9.82,7.8
Enron,BFS,4.86,9.97,7.7
Enron,Minhash,4.91,10.12,7.68
Enron,TSP,3.95,9.46,6.58
Enron,LLP,3.96,8.55,6.51
Enron,Spectral,5.43,9.41,8.6
Enron,Multiscale,4.23,8,6.9
Enron,SlashBurn,5.11,10.18,8.05
Enron,BP,3.69,8.26,6.24
AS-Oregon,Natural,7.88,12.06,13.34
AS-Oregon,BFS,4.71,11.06,7.97
AS-Oregon,Minhash,4.47,11.17,7.56
AS-Oregon,TSP,3.59,10.39,6.66
AS-Oregon,LLP,4.42,8.32,7.47
AS-Oregon,Spectral,5.64,9.53,8.76
AS-Oregon,Multiscale,4.53,7.23,7.31
AS-Oregon,SlashBurn,4.5,10.66,8.74
AS-Oregon,BP,3.15,9.21,6.25
FB-NewOrlean,Natural,9.74,14.29,14.64
FB-NewOrlean,BFS,7.16,12.63,10.79
FB-NewOrlean,Minhash,7.06,12.57,10.62
FB-NewOrlean,TSP,5.62,11.61,8.96
FB-NewOrlean,LLP,5.37,9.41,8.54
FB-NewOrlean,Spectral,7.64,11.49,11.79
FB-NewOrlean,Multiscale,5.9,9.58,9.25
FB-NewOrlean,SlashBurn,8.37,13.06,12.65
FB-NewOrlean,BP,4.99,9.45,8.16
web-Google,Natural,13.39,16.74,20.08
web-Google,BFS,5.57,11.21,7.69
web-Google,Minhash,5.65,13.14,6.87
web-Google,TSP,3.28,7.99,4.77
web-Google,LLP,3.75,6.7,5.13
web-Google,Spectral,6.68,10.25,9.16
web-Google,Multiscale,2.72,4.82,4.1
web-Google,SlashBurn,8.02,14.46,10.29
web-Google,BP,3.17,7.74,4.68
LiveJournal,Natural,10.43,17.44,14.61
LiveJournal,BFS,10.52,17.59,14.69
LiveJournal,Minhash,10.79,17.76,15.07
LiveJournal,LLP,7.46,12.25,11.12
LiveJournal,BP,7.03,12.79,10.73
Twitter,Natural,15.23,23.65,21.56
Twitter,BFS,12.87,22.69,17.99
Twitter,Minhash,10.43,21.98,14.76
Twitter,BP,7.91,20.5,11.62
"Table 2: Reordering results of various algorithms on graphs: the costs of MLogA, BiMLogA, and the number of bits per edge required by BV. The best results in every column are highlighted. We present the results that completed the computation within a few hours. ",,,,
