,Neighborhood,Neighborhood,Fiedler,Fiedler,PageRank,PageRank,Whisker,Whisker,Metis,Metis,Seeded,Seeded
,Cond.,Size,Cond.,Size,Cond.,Size,Cond.,Size,Cond.,Size,Cond.,Size
ca-AstroPh,0.0455,7,0.0101,23,0.0101,23,0.0101,23,0.0101,23,0.0101,23
email-Enron,0.0154,10,0.0045,28,0.0045,28,0.0045,28,0.008,16,0.0045,28
cond-mat-2005,0.0064,13,0.0064,13,0.0064,13,0.0064,13,0.0154,11,0.0064,13
arxiv,0.0021,27,0.0008,303,0.0014,304,0.0021,27,0.0021,27,0.0019,306
dblp,0.0038,24,0.0038,25,0.0034,83,0.0038,25,0.0041,17,0.0034,83
hollywood-2009,0.0018,24,0.0018,24,0.0018,24,0.0018,24,0.0018,24,0.0018,24
Penn94,0.3333,2,0.1898,7191,0.1966,41,0.3333,2,0.1986,6923,0.2009,39
fb-A-oneyear,0.0031,164,0.0031,164,0.0031,164,0.0031,164,0.009,56,0.0031,164
fb-A,0.0345,8,0.0084,647,0.0084,647,0.0133,38,0.013,77,0.0084,647
soc-LiveJournal1,0.0001,115,0.0001,115,0.0001,115,0.0001,115,0.0001,115,0.0001,115
oregon2-010526,0.1368,12,0.0467,316,0.0438,318,0.1429,4,0.0553,3820,0.0443,319
p2p-Gnutella25,0.1429,10,0.0417,24,0.0417,24,0.0588,9,0.0417,24,0.0417,24
as-22july06,0.0909,4,0.0289,661,0.0286,654,0.0667,8,0.0296,657,0.0285,656
itdk0304,0.0162,213,0.0001,1306,0.0002,1188,0.0001,1306,0.0046,152,0.0002,1188
web-Google,0.0006,59,0.0008,234,0.0006,59,0.0006,59,0.0006,59,0.0006,59
Table3: The best community detected by the six methods explored. The first (¡ì6) and last (¡ì7) are ours.,,,,,,,,,,,,
