,time error (sec.),time error (sec.),time error (sec.),time error (sec.),location error (m),location error (m),location error (m),location error (m),heading direction error (·_),heading direction error (·_),heading direction error (·_),heading direction error ()
,SF,NYC,Boston,Salina,SF,NYC,Boston,Salina,SF,NYC,Boston,Salina
Full-Model,2.27,3.23,1.21,0.82,26.9,40.1,16,19.2,20.8,19.3,12.6,16.8
common,2.38,3.36,1.43,0.8,25.9,38,17,18.3,17.6,16.6,11,15.2
GPS-speed,2.99,4.51,1.85,0.98,31.5,50.3,22.3,21.7,17.2,19.1,12.4,14.1
Shortest-path,2.28,3.27,1.25,0.81,26.1,39.7,16.2,19.2,21.8,20,12.9,18.3
,time error (sec.),time error (sec.),time error (sec.),time error (sec.),location error (m),location error (m),location error (m),location error (m),heading direction error (·_),heading direction error (·_),heading direction error (·_),heading direction error ()
,SF,NYC,Boston,Salina,SF,NYC,Boston,Salina,SF,NYC,Boston,Salina
Full-Model,3.56,4.83,2.41,1.19,57.8,70.5,44.4,33.5,20.1,19.3,12.9,16.3
common,3.95,5.2,2.81,1.27,67.1,77.6,50.9,36.3,17.4,16.2,11.2,15.5
GPS-speed,4.71,6.62,3.41,1.42,59.8,77.8,50.7,31.2,19.8,19.4,12.9,17
Shortest-path,4.4,6.03,2.73,1.46,68.7,83.4,49.2,40.6,22.1,21.5,12.9,19.3
Table 1: Average errors of estimating past locations and travel times. ,,,,,,,,,,,,
