DATASET,NAIVE,B-T,OUR BEST
PEER POSTER,0.6570¡À 0.0001,0.7088¡À 0.0008,0.7094¡À 0.0009
PEER FINAL,0.6353¡À 0.0003,0.7545¡À 0.0014,0.7588¡À 0.0060
MOVIELENS,0.5870¡À 0.0001,0.6794¡À 0.0002,0.6798¡À 0.0002
JESTER,0.6142¡À 0.0001,0.6236¡À 0.0001,0.6236¡À 0.0001
SUSHI_A,0.6529¡À 0.0001,0.6529¡À 0.0001,0.6535¡À 0.0005
SUSHI_B,0.6123¡À 0.0001,0.6582¡À 0.0001,0.6591¡À 0.0005
ELECTION_A5,0.6531¡À 0.0001,0.6587¡À 0.0001,0.6587¡À 0.0001
ELECTION_A9,0.6123¡À 0.0001,0.6088¡À 0.0001,0.6125¡À 0.0002
ELECTION_A17,0.5311¡À 0.0001,0.5262¡À 0.0001,0.5318¡À 0.0009
ELECTION_A48,0.5996¡À 0.0001,0.6001¡À 0.0001,0.6002¡À 0.0001
ELECTION_A81,0.5998¡À 0.0001,0.6037¡À 0.0001,0.6037¡À 0.0001
ELECTION_SF,0.7420¡À 0.0018,0.7401¡À 0.0021,0.7423¡À 0.0022
ELECTION_CM,0.7093¡À 0.0006,0.7081¡À 0.0005,0.7094¡À 0.0004
ELECTION_DW,0.7226¡À 0.0008,0.7228¡À 0.0011,0.7227¡À 0.0011
ELECTION_DN,0.7094¡À 0.0008,0.7091¡À 0.0008,0.7094¡À 0.0008
Table 1: Test log-likelihood on rank aggregation datasets. ,,,
