,Interaction-based,Interaction-based,Interaction-based,Interaction-based,Review-based,Review-based,Review-based,Improvement (%),Improvement (%),Improvement (%),Improvement (%)
Dataset,MF,FM,MLP,NEUMF,D-CON,TNET,D-ATT,MPCN,__C,__N,__A
Yelp17,1.735,1.726,1.727,1.691,1.385,1.363,1.428,1.349,2.7,1,5.9
Instant Video,2.769,1.331,1.532,1.451,1.285,1.007,1.004,0.997,28.9,1,0.7
Instruments,6.72,1.166,1.081,1.189,1.483,1.1,0.964,0.923,60.7,19.2,4.4
Digital Music,1.956,1.382,1.361,1.332,1.202,1.004,1,0.97,23.9,3.5,3.1
Baby,1.755,1.614,1.585,1.598,1.44,1.338,1.325,1.304,10.4,2.6,1.6
Patio / Lawn,2.813,1.311,1.279,1.251,1.534,1.123,1.037,1.011,51.7,11.1,2.6
Gourmet Food,1.537,1.348,1.442,1.464,1.199,1.129,1.143,1.125,6.6,0.4,1.6
Automotive,5.08,1.599,1.071,1.013,1.13,0.946,0.881,0.861,31.2,9.9,2.3
Pet Supplies,1.736,1.618,1.649,1.646,1.447,1.346,1.337,1.328,9,1.4,0.7
Office Products,1.143,0.998,1.122,1.069,0.909,0.84,0.805,0.779,16.7,7.8,3.3
Android Apps,1.922,1.871,1.805,1.842,1.517,1.515,1.509,1.494,1.5,1.4,1
Beauty,1.95,1.711,1.631,1.552,1.453,1.404,1.409,1.387,4.8,1.2,1.6
Tools / Home,1.569,1.31,1.356,1.314,1.208,1.122,1.101,1.096,10.2,2.4,0.5
Video Games,1.627,1.665,1.576,1.568,1.307,1.276,1.269,1.257,4,1.5,1
Toys / Games,1.802,1.195,1.286,1.222,1.057,0.974,0.982,0.973,8.6,0.1,0.9
Health,1.882,1.506,1.522,1.415,1.299,1.249,1.269,1.238,4.9,0.9,2.5
CellPhone,1.972,1.668,1.622,1.606,1.524,1.431,1.452,1.413,7.9,1.3,2.8
Sports / Outdoors,1.388,1.195,1.12,1.299,1.039,0.994,0.99,0.98,6,1.4,1
Kindle Store,1.533,1.217,1.231,1.398,0.823,0.797,0.813,0.775,6.2,2.8,4.9
Home / Care,1.667,1.547,1.584,1.654,1.259,1.235,1.237,1.22,3.2,1.2,1.4
Clothing,2.396,1.492,1.462,1.535,1.322,1.197,1.207,1.187,11.4,0.8,1.7
CDs / Vinyl,1.368,1.555,1.432,1.368,1.045,1.01,1.018,1.005,4,0.5,1.3
Movies / TV,1.69,1.852,1.518,1.775,1.96,1.176,1.187,1.144,71.3,2.8,3.8
Electronics,1.962,2.12,1.95,1.651,1.372,1.365,1.368,1.35,1.6,1.1,1.3
"Table 1: Performance comparison (mean squared error) on 24 benchmark datasets. The best performance is in boldface. _DC , _T N , _DA are the relative improvements (%) of MPCN over DeepCoNN (D-CON), TransNet (T-NET) and D-ATT respec- tively. MPCN achieves state-of-the-art performance, outperforming all existing methods on 24 benchmark datasets. ",,,,,,,,,,,
