,SF2013,SF2013,SF2014,SF2014,SF2014,SF2014,Flight,Flight,Flight
Method,PREC,REC,F1,PREC,REC,F1,PREC,REC,F1
TEM,0.78,0.82,0.8,0.65,0.69,0.67,0.91,0.95,0.93
Vot,0.38,0.9,0.54,0.35,0.89,0.51,0.78,0.86,0.82
VotE,0.85,0.54,0.66,0.62,0.54,0.58,0.79,0.72,0.76
Find,0.39,0.92,0.55,0.37,0.93,0.53,0.88,0.97,0.92
FindE,0.88,0.54,0.67,0.67,0.51,0.58,0.9,0.81,0.85
Ave,0.4,0.93,0.56,0.37,0.93,0.53,0.8,0.88,0.84
AveE,0.9,0.53,0.66,0.66,0.54,0.6,0.8,0.7,0.74
Inv,0.33,0.77,0.46,0.31,0.78,0.44,0.87,0.96,0.92
InvE,0.82,0.49,0.62,0.5,0.44,0.47,0.75,0.62,0.68
PInv,0.12,0.29,0.17,0.25,0.63,0.35,0.88,0.97,0.92
PInvE,0.75,0.52,0.62,0.61,0.74,0.67,0.91,0.9,0.9
3Est,0.38,0.9,0.54,0.37,0.94,0.53,0.87,0.96,0.92
3EstE,0.74,0.57,0.65,0.62,0.58,0.6,0.9,0.77,0.83
LCA,0.37,0.87,0.52,0.35,0.9,0.51,0.78,0.86,0.82
LCAE,0.85,0.51,0.63,0.63,0.54,0.58,0.77,0.76,0.77
LTM EM,,,,,,,,,0.790.92
Table 7: Truth Inference ,,,,,,,,,
