,(a) Composite Retrieval Approaches,(a) Composite Retrieval Approaches,(a) Composite Retrieval Approaches,(a) Composite Retrieval Approaches,(a) Composite Retrieval Approaches,(b) Adding Relevance Estimation,(b) Adding Relevance Estimation,(b) Adding Relevance Estimation,(b) Adding Relevance Estimation
,FSC,BOBO,BOBO-DT BOBO-DE CPS,CPS-DT,CPS-DE,BOBO-VT,BOBO-VE,BOBO-E,BOBO-T
P@5,0.448,0.5,,,,,,,
P@10,0.46,0.51,,,,,,,
P@30,0.505,0.472,,,,,,,
nDCG@5,0.26,0.327,,,,,,,
nDCG@10,0.287,0.345,,,,,,,
nDCG@30,0.351,0.362,,0.308,0.306,0.368,0.349,0.369,0.382
tcoh,-,0.301,0.301 0.301 0.676,0.676,0.676,0.289,0.262,0.271,0.297
tdiv,-,0.18,0.180 0.180 0.268,0.268,0.268,0.174,0.159,0.161,0.167
vdiv,-,0.26,0.260 0.260 0.115,0.115,0.115,0.241,0.255,0.266,0.273
"Table 3: Performance of various composite retrieval approaches in the heterogeneous web environment based on FSC (Federated Search Central): central ranking of mixture of all verticals. Pairwise t-test significance test is applied, and values marked with Y_(p- value=0.05), IJ(p-value=0.01) and Z_(p-value=0.05), I_(p-value=0.01) indicate respectively significant improvements or deterioration over baseline (FSC). ",,,,,,,,,
