,Stock,Stock,Stock,Flight,Flight,Flight,Weather,Weather,Weather,Pedestrian,Pedestrian,Pedestrian
Methods,MAE,RMSE,Time(s),MAE,RMSE,Time(s),MAE,RMSE,Time(s),MAE,RMSE,Time(s)
TruthFinder,3.49,9.44,98.12,1.19,5.85,50.04,2.81,3.33,2.11,1.79,2.28,1.11
3Estimates,6.05,27.7,208.99,28.9,119.9,146.75,3.34,4.42,1.76,1.79,2.28,1.11
AverageLog,3.6,9.7,31.53,0.98,4.85,22.2,2.53,3.65,0.78,1.79,2.28,0.05
Investment,6.05,27.5,44.48,28.91,119.9,30.76,3.34,4.42,0.93,1.79,2.28,0.05
PooledInv,3.23,11.19,50.69,0.39,3.13,44.68,2.55,3.36,1.41,1.79,2.28,0.08
Median,2.97,13.29,39.93,2.55,6.4,45.44,2.49,3.2,3.08,0.79,0.95,0.18
Mean,4.6,19.26,57.87,5.78,10.75,62.19,2.46,3.25,4.42,0.87,1.01,0.36
GTM,2.24,11.83,103.28,2.7,3.31,125.82,2.55,3.35,0.7,0.98,1.19,0.1
GTM+ours,1.63,9.27,131.32,3.37,6.73,150.35,2.46,3.53,2.75,0.8,0.96,0.11
DynaTD+All,2.05,8.01,8.82,2.89,8.48,0.23,2.97,4.45,10.23,0.78,1.01,0.16
EvolvT,2.05,7.97,3.63,2.54,4.31,140.1,2.52,3.78,54.78,0.72,0.95,0.12
EvolvT(0),1.96,8.35,4.01,2.8,9.18,0.49,2.64,3.49,2.33,0.72,0.93,0.03
EvolvT(5),1.86,7.54,7.93,3.25,8.53,3.85,2.48,3.28,11.38,0.69,0.89,0.04
EvolvT(10),1.54,6.91,3.85,3.31,8.61,22.89,2.42,3.21,22.89,0.7,0.9,0.06
Table 1: Performance Comparison ,,,,,,,,,,,,
