,Fresh Cache,Fresh Cache,Fresh Cache,Fresh Cache,Expired Cache,Expired Cache,Expired Cache,Expired Cache,Empty Cache,Empty Cache,Empty Cache,Empty Cache
Sites,Legacy,Tempo Reduction,Legacy,Tempo Reduction,Legacy,Tempo Reduction,Legacy,Tempo Reduction,Legacy,Tempo Reduction,Legacy,Tempo Reduction
ESPN,3491,3602,-111,-3%,6748,5372,1376,20%,7031,5322,1709,24%
CNN,4873,4507,366,8%,5992,4274,1718,29%,6346,5307,1039,16%
Google,2407,2842,-435,-18%,3411,3073,338,10%,3932,3257,675,17%
Yahoo! Mail,3239,3472,-233,-7%,5083,3265,1818,36%,5083,3442,1641,32%
Weather,5055,4559,496,10%,6109,3835,2274,37%,7167,4716,2451,34%
Craigslist,3123,2400,723,23%,3648,2089,1559,43%,3677,2470,1207,33%
Neopets Games,9041,9076,-35,0%,10639,9280,1359,13%,10660,10220,440,4%
Varsity Tutors,5969,5384,585,10%,8516,6677,1839,22%,9987,7914,2073,21%
Ride METRO,4220,3801,419,10%,6109,4620,1489,24%,6945,5488,1457,21%
Rice Registrar,3046,3609,-563,-18%,4169,3489,680,16%,6027,4084,1943,32%
Average,4446,4325,121,1%,6042,4597,1445,25%,6686,5222,1464,24%
,Legacy,Tempo Reduction,Legacy,Tempo Reduction,Legacy,Tempo Reduction,Legacy,Tempo Reduction,Legacy,Tempo Reduction,Legacy,Tempo Reduction
Sites,3152,2587,565,18%,3163,2788,375,12%,6162,4205,1957,32%
ESPN,2994,3328,-334,-11%,3519,2438,1081,31%,7091,6054,1037,15%
CNN,2982,2295,687,23%,2376,2492,-116,-5%,4638,2945,1693,37%
Google,5222,5282,-60,-1%,4472,3162,1310,29%,5572,5047,525,9%
Yahoo! Mail,5180,3763,1417,27%,3757,2682,1075,29%,5357,5244,113,2%
Weather,1203,1210,-7,-1%,2624,1848,776,30%,5163,3463,1700,33%
Craigslist,10105,9795,310,3%,7326,7038,288,4%,6914,6623,291,4%
Neopets,7126,8013,-887,-12%,10598,7437,3161,30%,14921,12674,2247,15%
Varsity Tutors,2759,3460,-701,-25%,3352,2602,750,22%,6829,6171,658,10%
Ride METRO,3929,3708,221,6%,4570,3672,898,20%,6506,5534,972,15%
Rice Registrar,4465,4344,121,3%,4576,3616,960,20%,6915,5796,1119,17%
Table 2: Browser delay reduction from speculative loading for webpage revisits under different cache states (in ms) ,,,,,,,,,,,,
